proid	parent1	parent2	progeny	parent_1	parent_2	qq_uu	which_mother	nloci
A3491:250413259	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	1905	3	4	990.715959974586	1	9144
A2262:250417194	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	1150	4	4	1512.09504007782	1	9003
E0431:250284314	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	3421	4	4	1426.04629035206	1	9136
E2023:250272318	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	4223	3	4	958.461113011526	1	9091
B3212:250283869	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	2970	4	4	1445.7958138619	1	8944
A0178:250415792	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	86	4	4	1509.34483284562	1	9103
A3543:250413320	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	1935	3	4	1007.72652860301	2	9128
A5826:250441759	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	2802	4	4	1461.49628698116	1	9054
A4801:250422955	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	2400	4	4	1564.47770655846	1	9091
A1851:250416913	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	930	3	4	1014.09192725618	2	9107
A0594:250416108	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	313	4	4	1526.09851533197	1	9074
A0152:250415785	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	79	3	4	1008.00705338559	1	9134
A0078:250415742	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	34	3	4	983.80259169788	2	9164
A0513:250416030	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	265	4	4	1553.30705854895	1	8922
E1723:250272091	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	4044	3	4	1019.58866836387	1	9167
A0673:250416147	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	350	3	4	1011.98371666106	1	9138
A0971:250416375	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	518	3	4	1008.58308988677	2	9129
E1828:250310729	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	4111	4	4	1500.34941228708	1	9061
E1794:250310710	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	4092	3	4	1007.15533014433	NA	9148
A2386:250412457	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	1210	3	4	978.004607382016	2	9144
E0608:250283091	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	3510	3	4	973.156416806862	2	9136
E1473:250271932	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	3912	4	4	1523.37007854319	1	9094
A1061:250416436	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	578	4	4	1553.08683440326	1	9033
E1794_1:250442021	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	4767	3	4	1029.34922232525	NA	9166
A4826:250422964	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	2412	3	4	1006.1129214447	2	9142
A4999:250423031	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	2478	3	4	1028.72624223501	2	9177
A2470:250412542	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	1265	3	4	988.313252722179	1	9015
E0370:250284312	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	3402	4	4	1510.72128005082	1	9086
B3104:250283805	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	2908	3	4	1011.53766218698	1	9182
A0222:250415858	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	119	3	4	991.291627859409	2	9068
E1857:250310748	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	4129	3	4	1002.96729522963	2	9123
